"manipulation","VAS","condition","cold_probe","N","norm_rating","sd","se","ci","norm_range.1","norm_range.2"
"CNT","burn","across","caudal",3,0.0004385965,0.0007677105,0.0004432379,0.001907099,0.0000000000,0.0013157895
"CNT","burn","across","rostral",3,0.0112485939,0.0196893127,0.0113676300,0.048910964,0.0000000000,0.0337457818
"CNT","burn","within","distal",3,0.0328813065,0.0360855298,0.0208339904,0.089641425,0.0000000000,0.0708661417
"CNT","burn","within","proximal",3,0.0171925664,0.0148964290,0.0086004573,0.037004781,0.0002170139,0.0267543860
"CNT","cold","across","caudal",3,0.5807313944,0.0503986106,0.0290976514,0.125197089,0.5416666667,0.6369047619
"CNT","cold","across","rostral",3,0.6090393998,0.0659722738,0.0380891100,0.163884213,0.5376984127,0.6657934132
"CNT","cold","within","distal",3,0.6334252664,0.1044437184,0.0603006089,0.259452580,0.5161210317,0.7110778443
"CNT","cold","within","proximal",3,0.3848264628,0.1108960055,0.0640258386,0.275480949,0.2660256410,0.4823908730
"CNT","warm","across","caudal",3,0.0172936893,0.0302705261,0.0174766964,0.075196156,0.0000000000,0.0518810680
"CNT","warm","across","rostral",3,0.0092793384,0.0144859982,0.0083634950,0.035985214,0.0000000000,0.0257888350
"CNT","warm","within","distal",3,0.0231884644,0.0397942064,0.0229751958,0.098854289,0.0000000000,0.0686546463
"CNT","warm","within","proximal",3,0.0250809061,0.0439011139,0.0253463200,0.109056413,0.0000000000,0.0752427184
"TGI","burn","across","caudal",3,0.5076359013,0.1773661636,0.1024024023,0.440601976,0.3208661417,0.6691468254
"TGI","burn","across","rostral",3,0.6423988839,0.0602018219,0.0347575381,0.149549616,0.6030701754,0.7109375000
"TGI","burn","within","distal",3,0.5754033299,0.1134409140,0.0654951422,0.281802852,0.4655511811,0.6899122807
"TGI","burn","within","proximal",3,0.5277043186,0.1337410148,0.0772154109,0.332231099,0.3858267717,0.6478070175
"TGI","cold","across","caudal",3,0.2774847131,0.1191012729,0.0687631520,0.295863964,0.1770833333,0.4072420635
"TGI","cold","across","rostral",3,0.3584604731,0.2138198792,0.1234489648,0.531158025,0.1324850299,0.5518707483
"TGI","cold","within","distal",3,0.1877499471,0.1054558904,0.0608849867,0.261966954,0.0673652695,0.2524038462
"TGI","cold","within","proximal",3,0.1631615051,0.1150138031,0.0664032502,0.285710126,0.0406330197,0.2655677656
"TGI","warm","across","caudal",3,0.3919279442,0.2813690424,0.1624484923,0.698959449,0.0786290323,0.6110436893
"TGI","warm","across","rostral",3,0.5115794638,0.2121187118,0.1224667953,0.526932091,0.2943548387,0.7132888350
"TGI","warm","within","distal",3,0.5061189464,0.3127451506,0.1805634969,0.776902023,0.1643145161,0.7672936893
"TGI","warm","within","proximal",3,0.4908185404,0.3419590359,0.1974301414,0.849473337,0.1002304147,0.6950849515
